dimension_id,province_id,dimension_value,year
1,1100,26.00,2024
1,1200,25.00,2024
1,1300,36.80,2024
1,1400,74.00,2024
1,1500,58.00,2024
1,1600,41.00,2024
1,1700,42.00,2024
1,1800,49.00,2024
1,1900,50.00,2024
1,2100,42.00,2024
1,3100,35.00,2024
1,3200,53.00,2024
1,3300,61.00,2024
1,3400,76.00,2024
1,3500,40.00,2024
1,3600,18.00,2024
1,5100,100.00,2024
1,5200,100.00,2024
1,5300,6.40,2024
1,6100,50.00,2024
1,6200,49.00,2024
1,6300,40.00,2024
1,6400,53.00,2024
1,6500,50.00,2024
1,7100,51.00,2024
1,7200,42.00,2024
1,7300,18.00,2024
1,7400,13.00,2024
1,7500,0.80,2024
1,7600,11.00,2024
1,8100,20.00,2024
1,8200,90.00,2024
1,9100,54.00,2024
1,9400,30.80,2024
1,1001,50.00,2024
2,1100,82.98,2024
2,1200,76.49,2024
2,1300,76.96,2024
2,1400,78.52,2024
2,1500,68.26,2024
2,1600,74.94,2024
2,1700,77.60,2024
2,1800,76.23,2024
2,1900,74.86,2024
2,2100,81.11,2024
2,3100,76.12,2024
2,3200,70.39,2024
2,3300,71.65,2024
2,3400,89.59,2024
2,3500,74.42,2024
2,3600,71.14,2024
2,5100,83.89,2024
2,5200,78.11,2024
2,5300,69.88,2024
2,6100,61.24,2024
2,6200,75.20,2024
2,6300,77.22,2024
2,6400,76.32,2024
2,6500,75.79,2024
2,7100,74.78,2024
2,7200,78.22,2024
2,7300,73.14,2024
2,7400,74.84,2024
2,7500,68.46,2024
2,7600,69.07,2024
2,8100,74.79,2024
2,8200,73.06,2024
2,9100,73.37,2024
2,9400,60.12,2024
2,1001,71.51,2024
3,1100,62.47,2024
3,1200,72.66,2024
3,1300,66.44,2024
3,1400,77.54,2024
3,1500,72.40,2024
3,1600,72.37,2024
3,1700,81.07,2024
3,1800,80.51,2024
3,1900,75.26,2024
3,2100,81.39,2024
3,3100,77.41,2024
3,3200,69.71,2024
3,3300,84.16,2024
3,3400,85.90,2024
3,3500,79.00,2024
3,3600,67.39,2024
3,5100,91.69,2024
3,5200,78.68,2024
3,5300,76.36,2024
3,6100,80.19,2024
3,6200,79.41,2024
3,6300,78.97,2024
3,6400,79.06,2024
3,6500,77.98,2024
3,7100,83.51,2024
3,7200,79.24,2024
3,7300,78.19,2024
3,7400,78.83,2024
3,7500,76.93,2024
3,7600,84.06,2024
3,8100,76.33,2024
3,8200,77.52,2024
3,9100,75.22,2024
3,9400,76.23,2024
3,1001,75.96,2024
4,1100,50.67,2024
4,1200,42.81,2024
4,1300,50.56,2024
4,1400,52.03,2024
4,1500,54.56,2024
4,1600,54.03,2024
4,1700,71.17,2024
4,1800,57.46,2024
4,1900,62.03,2024
4,2100,58.72,2024
4,3100,58.60,2024
4,3200,48.51,2024
4,3300,62.51,2024
4,3400,73.42,2024
4,3500,58.74,2024
4,3600,54.15,2024
4,5100,73.96,2024
4,5200,55.57,2024
4,5300,42.50,2024
4,6100,44.75,2024
4,6200,45.56,2024
4,6300,52.82,2024
4,6400,44.19,2024
4,6500,39.51,2024
4,7100,44.27,2024
4,7200,26.24,2024
4,7300,47.81,2024
4,7400,34.55,2024
4,7500,82.33,2024
4,7600,35.19,2024
4,8100,47.40,2024
4,8200,47.32,2024
4,9100,25.04,2024
4,9400,35.79,2024
4,1001,57.60,2024
5,1100,48.80,2024
5,1200,43.63,2024
5,1300,40.39,2024
5,1400,47.42,2024
5,1500,32.47,2024
5,1600,27.68,2024
5,1700,32.30,2024
5,1800,35.91,2024
5,1900,32.36,2024
5,2100,37.13,2024
5,3100,33.95,2024
5,3200,33.04,2024
5,3300,54.79,2024
5,3400,64.13,2024
5,3500,53.61,2024
5,3600,35.50,2024
5,5100,88.89,2024
5,5200,57.56,2024
5,5300,49.08,2024
5,6100,42.14,2024
5,6200,34.18,2024
5,6300,34.19,2024
5,6400,34.64,2024
5,6500,41.29,2024
5,7100,56.28,2024
5,7200,39.00,2024
5,7300,29.54,2024
5,7400,28.63,2024
5,7500,47.47,2024
5,7600,43.25,2024
5,8100,35.45,2024
5,8200,44.60,2024
5,9100,52.37,2024
5,9400,52.47,2024
5,1001,39.01,2024
6,1100,80.46,2024
6,1200,66.21,2024
6,1300,76.76,2024
6,1400,76.26,2024
6,1500,64.54,2024
6,1600,58.82,2024
6,1700,66.06,2024
6,1800,67.78,2024
6,1900,73.07,2024
6,2100,77.50,2024
6,3100,86.70,2024
6,3200,77.27,2024
6,3300,74.33,2024
6,3400,79.01,2024
6,3500,78.96,2024
6,3600,74.29,2024
6,5100,87.64,2024
6,5200,80.90,2024
6,5300,63.25,2024
6,6100,59.58,2024
6,6200,72.89,2024
6,6300,74.68,2024
6,6400,78.73,2024
6,6500,70.81,2024
6,7100,63.40,2024
6,7200,58.29,2024
6,7300,69.83,2024
6,7400,67.81,2024
6,7500,64.19,2024
6,7600,57.21,2024
6,8100,59.24,2024
6,8200,58.32,2024
6,9100,68.61,2024
6,9400,44.03,2024
6,1001,71.04,2024
7,1100,56.49,2024
7,1200,62.77,2024
7,1300,60.45,2024
7,1400,58.57,2024
7,1500,56.72,2024
7,1600,59.20,2024
7,1700,60.38,2024
7,1800,57.15,2024
7,1900,51.96,2024
7,2100,60.86,2024
7,3100,57.92,2024
7,3200,56.86,2024
7,3300,61.00,2024
7,3400,61.10,2024
7,3500,54.38,2024
7,3600,57.49,2024
7,5100,60.02,2024
7,5200,52.14,2024
7,5300,58.93,2024
7,6100,53.76,2024
7,6200,66.41,2024
7,6300,56.29,2024
7,6400,54.57,2024
7,6500,58.62,2024
7,7100,78.30,2024
7,7200,62.78,2024
7,7300,60.86,2024
7,7400,64.57,2024
7,7500,77.48,2024
7,7600,68.54,2024
7,8100,66.96,2024
7,8200,57.84,2024
7,9100,55.63,2024
7,9400,57.62,2024
7,1001,55.75,2024
