province_id,Total,Year
1100,60.11,2024
1200,57.15,2024
1300,59.74,2024
1400,66.91,2024
1500,60.11,2024
1600,58.68,2024
1700,66.58,2024
1800,63.84,2024
1900,63.67,2024
2100,65.88,2024
3100,63.82,2024
3200,59.32,2024
3300,68.85,2024
3400,78.42,2024
3500,65.34,2024
3600,56.89,2024
5100,84.26,2024
5200,71.7,2024
5300,54.69,2024
6100,57.33,2024
6200,61.24,2024
6300,62.14,2024
6400,61.49,2024
6500,59.77,2024
7100,63.71,2024
7200,55.12,2024
7300,57,2024
7400,53.55,2024
7500,64.78,2024
7600,54,2024
8100,56.89,2024
8200,64.13,2024
9100,56.26,2024
9400,51.83,2024
1001,62.69,2024
