province_id,total,year,desc
1100,53.03,2022,
1200,52.47,2022,
1300,56.90,2022,
1400,58.52,2022,
1500,54.38,2022,
1600,53.09,2022,
1700,57.28,2022,
1800,55.71,2022,
1900,54.04,2022,
2100,56.50,2022,
3100,54.72,2022,
3200,53.67,2022,
3300,59.43,2022,
3400,66.52,2022,
3500,57.15,2022,
3600,51.41,2022,
5100,66.04,2022,
5200,56.60,2022,
5300,50.70,2022,
6100,52.95,2022,
6200,58.09,2022,
6300,58.45,2022,
6400,54.81,2022,
6500,55.40,2022,
7100,54.97,2022,
7200,49.71,2022,
7300,52.68,2022,
7400,52.98,2022,
7500,49.64,2022,
7600,49.48,2022,
8100,55.87,2022,
8200,52.87,2022,
9100,46.92,2022,
9400,44.62,2022,
1001,55.13,2022,
