dimension_id,province_id,dimension_value,year,desc
1,1100,11.79,2022,
1,1200,15.50,2022,
1,1300,34.65,2022,
1,1400,39.34,2022,
1,1500,25.78,2022,
1,1600,15.23,2022,
1,1700,30.66,2022,
1,1800,18.61,2022,
1,1900,22.91,2022,
1,2100,20.97,2022,
1,3100,12.14,2022,
1,3200,28.22,2022,
1,3300,44.00,2022,
1,3400,67.32,2022,
1,3500,30.07,2022,
1,3600,18.83,2022,
1,5100,43.15,2022,
1,5200,43.09,2022,
1,5300,4.65,2022,
1,6100,9.29,2022,
1,6200,17.24,2022,
1,6300,49.49,2022,
1,6400,14.75,2022,
1,6500,19.29,2022,
1,7100,46.65,2022,
1,7200,2.89,2022,
1,7300,7.08,2022,
1,7400,11.15,2022,
1,7500,2.22,2022,
1,7600,21.41,2022,
1,8100,3.81,2022,
1,8200,10.55,2022,
1,9100,3.25,2022,
1,9400,15.98,2022,
1,1001,26.88,2022,
2,1100,80.90,2022,
2,1200,74.57,2022,
2,1300,73.28,2022,
2,1400,76.22,2022,
2,1500,65.61,2022,
2,1600,68.49,2022,
2,1700,74.44,2022,
2,1800,77.60,2022,
2,1900,70.70,2022,
2,2100,80.55,2022,
2,3100,80.75,2022,
2,3200,71.43,2022,
2,3300,73.56,2022,
2,3400,80.88,2022,
2,3500,73.78,2022,
2,3600,70.20,2022,
2,5100,78.04,2022,
2,5200,71.80,2022,
2,5300,65.51,2022,
2,6100,61.12,2022,
2,6200,73.64,2022,
2,6300,73.41,2022,
2,6400,76.55,2022,
2,6500,73.39,2022,
2,7100,73.16,2022,
2,7200,71.73,2022,
2,7300,72.75,2022,
2,7400,73.25,2022,
2,7500,67.12,2022,
2,7600,62.13,2022,
2,8100,71.77,2022,
2,8200,67.55,2022,
2,9100,69.66,2022,
2,9400,53.90,2022,
2,1001,72.53,2022,
3,1100,57.14,2022,
3,1200,72.10,2022,
3,1300,61.97,2022,
3,1400,73.88,2022,
3,1500,73.12,2022,
3,1600,66.59,2022,
3,1700,75.77,2022,
3,1800,73.33,2022,
3,1900,71.41,2022,
3,2100,76.92,2022,
3,3100,70.79,2022,
3,3200,62.48,2022,
3,3300,74.02,2022,
3,3400,77.90,2022,
3,3500,68.61,2022,
3,3600,56.92,2022,
3,5100,77.53,2022,
3,5200,68.76,2022,
3,5300,79.61,2022,
3,6100,77.89,2022,
3,6200,78.62,2022,
3,6300,72.17,2022,
3,6400,74.40,2022,
3,6500,77.30,2022,
3,7100,79.89,2022,
3,7200,71.51,2022,
3,7300,72.09,2022,
3,7400,74.22,2022,
3,7500,64.16,2022,
3,7600,73.00,2022,
3,8100,80.70,2022,
3,8200,75.88,2022,
3,9100,75.98,2022,
3,9400,70.81,2022,
3,1001,69.25,2022,
4,1100,45.23,2022,
4,1200,40.14,2022,
4,1300,56.85,2022,
4,1400,51.75,2022,
4,1500,51.91,2022,
4,1600,55.67,2022,
4,1700,52.51,2022,
4,1800,51.37,2022,
4,1900,52.98,2022,
4,2100,43.18,2022,
4,3100,46.00,2022,
4,3200,52.12,2022,
4,3300,52.31,2022,
4,3400,58.20,2022,
4,3500,52.59,2022,
4,3600,51.77,2022,
4,5100,60.92,2022,
4,5200,47.72,2022,
4,5300,38.99,2022,
4,6100,50.57,2022,
4,6200,56.14,2022,
4,6300,51.73,2022,
4,6400,43.86,2022,
4,6500,47.42,2022,
4,7100,30.48,2022,
4,7200,35.65,2022,
4,7300,45.95,2022,
4,7400,40.12,2022,
4,7500,42.15,2022,
4,7600,37.75,2022,
4,8100,48.52,2022,
4,8200,41.71,2022,
4,9100,24.66,2022,
4,9400,32.45,2022,
4,1001,48.92,2022,
5,1100,39.61,2022,
5,1200,25.21,2022,
5,1300,28.71,2022,
5,1400,25.39,2022,
5,1500,25.45,2022,
5,1600,16.47,2022,
5,1700,23.92,2022,
5,1800,25.41,2022,
5,1900,14.87,2022,
5,2100,29.00,2022,
5,3100,19.18,2022,
5,3200,23.38,2022,
5,3300,41.59,2022,
5,3400,45.06,2022,
5,3500,41.21,2022,
5,3600,25.25,2022,
5,5100,59.58,2022,
5,5200,37.37,2022,
5,5300,32.36,2022,
5,6100,31.14,2022,
5,6200,29.31,2022,
5,6300,29.71,2022,
5,6400,28.51,2022,
5,6500,31.13,2022,
5,7100,39.34,2022,
5,7200,31.66,2022,
5,7300,25.37,2022,
5,7400,30.27,2022,
5,7500,29.71,2022,
5,7600,30.29,2022,
5,8100,45.09,2022,
5,8200,40.71,2022,
5,9100,34.44,2022,
5,9400,41.37,2022,
5,1001,31.48,2022,
6,1100,63.25,2022,
6,1200,59.88,2022,
6,1300,62.95,2022,
6,1400,61.92,2022,
6,1500,58.54,2022,
6,1600,59.51,2022,
6,1700,57.60,2022,
6,1800,53.98,2022,
6,1900,60.37,2022,
6,2100,64.73,2022,
6,3100,68.64,2022,
6,3200,58.28,2022,
6,3300,53.36,2022,
6,3400,57.72,2022,
6,3500,54.70,2022,
6,3600,59.01,2022,
6,5100,63.74,2022,
6,5200,59.59,2022,
6,5300,49.25,2022,
6,6100,55.84,2022,
6,6200,57.20,2022,
6,6300,56.03,2022,
6,6400,64.95,2022,
6,6500,57.00,2022,
6,7100,49.60,2022,
6,7200,54.03,2022,
6,7300,58.05,2022,
6,7400,62.84,2022,
6,7500,63.55,2022,
6,7600,50.90,2022,
6,8100,51.88,2022,
6,8200,55.20,2022,
6,9100,50.14,2022,
6,9400,29.13,2022,
6,1001,57.40,2022,
7,1100,53.12,2022,
7,1200,60.88,2022,
7,1300,60.07,2022,
7,1400,57.91,2022,
7,1500,53.63,2022,
7,1600,60.70,2022,
7,1700,57.81,2022,
7,1800,57.61,2022,
7,1900,51.19,2022,
7,2100,54.85,2022,
7,3100,58.24,2022,
7,3200,57.43,2022,
7,3300,58.88,2022,
7,3400,64.05,2022,
7,3500,58.42,2022,
7,3600,54.73,2022,
7,5100,61.02,2022,
7,5200,51.11,2022,
7,5300,66.08,2022,
7,6100,57.62,2022,
7,6200,64.57,2022,
7,6300,57.54,2022,
7,6400,56.65,2022,
7,6500,53.19,2022,
7,7100,63.64,2022,
7,7200,65.82,2022,
7,7300,63.46,2022,
7,7400,60.57,2022,
7,7500,66.02,2022,
7,7600,55.11,2022,
7,8100,63.39,2022,
7,8200,62.22,2022,
7,9100,56.97,2022,
7,9400,58.27,2022,
7,1001,59.30,2022,
