id,indicator_id,province_id,indicator_value,year
,1,1100,0.26,2024
,1,1200,0.25,2024
,1,1300,0.37,2024
,1,1400,0.74,2024
,1,1500,0.58,2024
,1,1600,0.41,2024
,1,1700,0.42,2024
,1,1800,0.49,2024
,1,1900,0.5,2024
,1,2100,0.42,2024
,1,3100,0.35,2024
,1,3200,0.53,2024
,1,3300,0.61,2024
,1,3400,0.76,2024
,1,3500,0.4,2024
,1,3600,0.18,2024
,1,5100,1,2024
,1,5200,1,2024
,1,5300,0.06,2024
,1,6100,0.5,2024
,1,6200,0.49,2024
,1,6300,0.4,2024
,1,6400,0.53,2024
,1,6500,0.5,2024
,1,7100,0.51,2024
,1,7200,0.42,2024
,1,7300,0.18,2024
,1,7400,0.13,2024
,1,7500,0.01,2024
,1,7600,0.11,2024
,1,8100,0.2,2024
,1,8200,0.9,2024
,1,9100,0.54,2024
,1,9400,0.31,2024
,1,1001,0.5,2024
,2,1100,9.73,2024
,2,1200,10.02,2024
,2,1300,9.31,2024
,2,1400,9.25,2024
,2,1500,8.97,2024
,2,1600,8.63,2024
,2,1700,9.22,2024
,2,1800,8.33,2024
,2,1900,8.48,2024
,2,2100,10.2,2024
,2,3100,11.58,2024
,2,3200,8.91,2024
,2,3300,7.95,2024
,2,3400,9.99,2024
,2,3500,8.05,2024
,2,3600,9.19,2024
,2,5100,10,2024
,2,5200,8,2024
,2,5300,8.06,2024
,2,6100,7.85,2024
,2,6200,9.01,2024
,2,6300,11.24,2024
,2,6400,10.25,2024
,2,6500,9.62,2024
,2,7100,9.74,2024
,2,7200,9.22,2024
,2,7300,8.72,2024
,2,7400,9.53,2024
,2,7500,7.95,2024
,2,7600,8.23,2024
,2,8100,10.4,2024
,2,8200,9.7,2024
,2,9100,7.81,2024
,2,9400,7.25,2024
,2,1001,8.79,2024
,3,1100,15.33,2024
,3,1200,14.24,2024
,3,1300,14.43,2024
,3,1400,14.28,2024
,3,1500,13.29,2024
,3,1600,13.41,2024
,3,1700,14.13,2024
