indicator_id,province_id,indicator_value,year
1,1100,0.13,2018
1,1200,0.18,2018
1,1300,0.34,2018
1,1400,0.46,2018
1,1500,0.36,2018
1,1600,0.26,2018
1,1700,0.26,2018
1,1800,0.3,2018
1,1900,0.26,2018
1,2100,0.26,2018
1,3100,0.22,2018
1,3200,0.33,2018
1,3300,0.38,2018
1,3400,0.74,2018
1,3500,0.37,2018
1,3600,0.11,2018
1,5100,0.53,2018
1,5200,0.8,2018
1,5300,0.04,2018
1,6100,0.15,2018
1,6200,0.27,2018
1,6300,0.22,2018
1,6400,0.27,2018
1,6500,0,2018
1,7100,0.34,2018
1,7200,0.28,2018
1,7300,0.12,2018
1,7400,0.12,2018
1,7500,0,2018
1,7600,0.04,2018
1,8100,0.11,2018
1,8200,0,2018
1,9100,0.3,2018
1,9400,0.28,2018
1,1001,0.31,2018
2,1100,9.09,2018
2,1200,9.34,2018
2,1300,8.76,2018
2,1400,8.92,2018
2,1500,8.23,2018
2,1600,8,2018
2,1700,8.61,2018
2,1800,7.82,2018
2,1900,7.84,2018
2,2100,9.81,2018
2,3100,11.05,2018
2,3200,8.15,2018
2,3300,7.35,2018
2,3400,9.32,2018
2,3500,7.39,2018
2,3600,8.62,2018
2,5100,8.65,2018
2,5200,7.03,2018
2,5300,7.3,2018
2,6100,7.12,2018
2,6200,8.37,2018
2,6300,8,2018
2,6400,9.48,2018
2,6500,8.87,2018
2,7100,9.24,2018
2,7200,8.52,2018
2,7300,8.02,2018
2,7400,8.69,2018
2,7500,7.46,2018
2,7600,7.5,2018
2,8100,9.58,2018
2,8200,8.72,2018
2,9100,7.27,2018
2,9400,6.52,2018
2,1001,8.17,2018
3,1100,14.27,2018
3,1200,13.14,2018
3,1300,13.95,2018
3,1400,13.11,2018
3,1500,12.9,2018
3,1600,12.36,2018
3,1700,13.58,2018
3,1800,12.61,2018
3,1900,11.87,2018
3,2100,12.82,2018
3,3100,12.95,2018
3,3200,12.45,2018
3,3300,12.63,2018
3,3400,15.56,2018
3,3500,13.1,2018
3,3600,12.85,2018
3,5100,13.23,2018
