indicator_id,province_id,indicator_value,year
1,1100,0.12,2022
1,1200,0.16,2022
1,1300,0.35,2022
1,1400,0.39,2022
1,1500,0.26,2022
1,1600,0.15,2022
1,1700,0.31,2022
1,1800,0.19,2022
1,1900,0.23,2022
1,2100,0.21,2022
1,3100,0.12,2022
1,3200,0.28,2022
1,3300,0.44,2022
1,3400,0.67,2022
1,3500,0.30,2022
1,3600,0.19,2022
1,5100,0.43,2022
1,5200,0.43,2022
1,5300,0.05,2022
1,6100,0.09,2022
1,6200,0.17,2022
1,6300,0.49,2022
1,6400,0.15,2022
1,6500,0.19,2022
1,7100,0.47,2022
1,7200,0.03,2022
1,7300,0.07,2022
1,7400,0.11,2022
1,7500,0.02,2022
1,7600,0.21,2022
1,8100,0.04,2022
1,8200,0.11,2022
1,9100,0.03,2022
1,9400,0.16,2022
1,1001,0.27,2022
2,1100,9.44,2022
2,1200,9.71,2022
2,1300,9.18,2022
2,1400,9.22,2022
2,1500,8.68,2022
2,1600,8.37,2022
2,1700,8.91,2022
2,1800,8.18,2022
2,1900,8.11,2022
2,2100,10.37,2022
2,3100,11.31,2022
2,3200,8.78,2022
2,3300,7.93,2022
2,3400,9.75,2022
2,3500,8.03,2022
2,3600,9.13,2022
2,5100,9.39,2022
2,5200,7.61,2022
2,5300,7.70,2022
2,6100,7.59,2022
2,6200,8.65,2022
2,6300,8.46,2022
2,6400,9.92,2022
2,6500,9.27,2022
2,7100,9.68,2022
2,7200,8.89,2022
2,7300,8.63,2022
2,7400,9.25,2022
2,7500,8.02,2022
2,7600,8.08,2022
2,8100,10.19,2022
2,8200,9.24,2022
2,9100,7.84,2022
2,9400,7.02,2022
2,1001,8.69,2022
3,1100,14.37,2022
3,1200,13.31,2022
3,1300,14.10,2022
3,1400,13.29,2022
3,1500,13.05,2022
3,1600,12.55,2022
3,1700,13.68,2022
3,1800,12.74,2022
3,1900,12.18,2022
3,2100,12.99,2022
3,3100,13.08,2022
3,3200,12.62,2022
3,3300,12.81,2022
3,3400,15.65,2022
3,3500,13.37,2022
3,3600,13.05,2022
3,5100,13.48,2022
3,5200,13.96,2022
3,5300,13.21,2022
3,6100,12.66,2022
3,6200,12.75,2022
3,6300,12.82,2022
3,6400,13.84,2022
3,6500,13.06,2022
3,7100,12.95,2022
3,7200,13.32,2022
3,7300,13.53,2022
3,7400,13.69,2022
3,7500,13.12,2022
3,7600,12.87,2022
3,8100,14.00,2022
3,8200,13.73,2022
3,9100,13.21,2022
3,9400,11.14,2022
3,1001,13.10,2022
4,1100,73.81,2022
4,1200,63.51,2022
4,1300,71.65,2022
4,1400,73.18,2022
4,1500,70.50,2022
4,1600,62.70,2022
4,1700,75.93,2022
4,1800,82.68,2022
4,1900,81.73,2022
4,2100,80.48,2022
4,3100,83.68,2022
4,3200,72.57,2022
4,3300,88.96,2022
4,3400,99.81,2022
4,3500,91.38,2022
4,3600,63.92,2022
4,5100,81.28,2022
4,5200,66.02,2022
4,5300,53.22,2022
4,6100,37.31,2022
4,6200,77.14,2022
4,6300,88.13,2022
4,6400,77.54,2022
4,6500,73.83,2022
4,7100,79.80,2022
4,7200,78.06,2022
4,7300,67.52,2022
4,7400,78.05,2022
4,7500,90.29,2022
4,7600,67.01,2022
4,8100,54.57,2022
4,8200,50.15,2022
4,9100,50.62,2022
4,9400,36.29,2022
4,1001,74.34,2022
5,1100,41.19,2022
5,1200,36.05,2022
5,1300,34.24,2022
5,1400,39.26,2022
5,1500,28.03,2022
5,1600,33.09,2022
5,1700,30.95,2022
5,1800,39.44,2022
5,1900,29.86,2022
5,2100,36.58,2022
5,3100,36.15,2022
5,3200,27.97,2022
5,3300,30.75,2022
5,3400,21.90,2022
5,3500,24.20,2022
5,3600,27.30,2022
5,5100,45.27,2022
5,5200,35.25,2022
5,5300,35.71,2022
5,6100,32.16,2022
5,6200,35.53,2022
5,6300,30.33,2022
5,6400,30.45,2022
5,6500,32.58,2022
5,7100,24.91,2022
5,7200,25.10,2022
5,7300,37.99,2022
5,7400,36.58,2022
5,7500,21.90,2022
5,7600,25.27,2022
5,8100,31.15,2022
5,8200,23.41,2022
5,9100,32.08,2022
5,9400,26.06,2022
5,1001,30.87,2022
6,1100,82.16,2022
6,1200,72.15,2022
6,1300,57.91,2022
6,1400,68.92,2022
6,1500,39.31,2022
6,1600,58.31,2022
6,1700,73.79,2022
6,1800,78.21,2022
6,1900,65.46,2022
6,2100,85.24,2022
6,3100,81.18,2022
6,3200,76.45,2022
6,3300,69.39,2022
6,3400,88.40,2022
6,3500,79.20,2022
6,3600,74.03,2022
6,5100,54.35,2022
6,5200,64.75,2022
6,5300,44.70,2022
6,6100,48.08,2022
6,6200,67.42,2022
6,6300,67.10,2022
6,6400,76.94,2022
6,6500,68.35,2022
6,7100,77.07,2022
6,7200,74.69,2022
