id,province_id,dimensions_id,description_dimensions,year
1,1100,1,"Hanya 1 dari 100 penduduk usia 15 tahun ke atas yang sumber penghasilannya berasal dari keterlibatan mereka sebagai pelakupertunjukkan seni. Nilai Aceh untuk indikator ini cukup jauh dari angka nasional. Perlu upaya keras dari pemerintah setempatuntuk meningkatkan indikator ini.",2020
2,1100,2,"Rata-rata lama sekolah penduduk 25 tahun ke atas dan Harapan Lama Sekolah di Aceh berada di atas angka nasional, namun angka tersebut masih belum memenuhi target.",2020
3,1100,3,Nilai Aceh untuk empat indikator di dimensi ini cukup jauh dari angka nasional. Perlu adanya upaya pemerintah setempat dalam memberikan sosialisasi pemahaman pentingnya kerukunan umat beragama.,2020
4,1100,4,"Persentase penduduk Aceh yang mengunjungi peninggalan sejarah cukup baik. Tetapi Persentase benda, bangunan, struktur, dan situs cagar budaya yang telah ditetapkan terhadap total registrasi masih jauh dari target maksimal yang sudah ditetapkan.",2020
5,1100,5,Persentase penduduk Aceh yang aktif mengikuti kegiatan organisasi masih di bawah nilai nasional. Pemerintah Aceh perlu memprioritaskan program-program yang dapat meningkatkan masyarakat di kegiatan organisasi.,2020
6,1100,6,Persentase penduduk Aceh yang membaca dan memanfaatkan taman bacaan masarakat cukup baik. Tetapi penduduk yang mengakses internet masih dibawah nilai Nasional. Pemerintah Aceh lebih memperhatikan sarana dan prasaranan penunjang internet.,2020
7,1100,7,"Rasio anggota parlemen perempuan terhadap anggota parlemen laki-laki di Aceh mencapai 12,50. Angka tersebut menunjukkan bahwa dari setiap 100 anggota perlemen laki-laki, hanya terdapat 12 anggota parlemen perempuan.",2020
8,1200,1,"Hanya 0,12 % penduduk usia 15 tahun ke atas di Sumatera Utara memiliki sumber penghasilan yang berasal dari keterlibatan mereka sebagai pelaku pertunjukkan seni. Dukungan dari pemerintah setempat diperlukan agar perekonomian di bidang budaya bisa meningkat.",2020
9,1200,2,Persentase penduduk penyandang disabilitas di Sumatra Utara yang bersekolah masih di bawah nilai nasional. Perlu ada usaha lebih bagi pemerintah Sumatra Utara untuk meningkatkan inklusivitas bagi masyarakat difabel.,2020
10,1200,3,"Hanya 24,19% penduduk Sumatra Utara yang mengikuti gotong royong. Pemerintah Sumatra Utara perlu memprioritaskan program-program yang dapat meningkatkan partisipasi masyarkat.",2020
